Date,Open,High,Low,Close,Volume
20240325,155.39999389648438,155.97999572753906,154.89999389648438,155.22000122070312,7498100
20240326,155.61000061035156,156.22999572753906,154.75999450683594,155.77000427246094,6864100
20240327,155.99000549316406,158.22000122070312,155.44000244140625,157.9600067138672,8461600
20240328,158.1999969482422,159.13999938964844,158.11000061035156,158.19000244140625,6181500
20240401,157.72000122070312,158.14999389648438,156.77000427246094,157.77999877929688,4364700
20240402,156.57000732421875,157.8300018310547,155.9499969482422,157.72999572753906,6102300
20240403,157.7899932861328,158.0500030517578,154.25,154.25999450683594,8098200
20240404,155.30999755859375,155.5,152.41000366210938,152.5,6947400
20240405,152.02999877929688,153.00999450683594,151.61000061035156,152.38999938964844,6778100
20240408,151.99000549316406,153.0399932861328,151.55999755859375,151.58999633789062,5935400
20240409,151.5500030517578,152.52999877929688,150.94000244140625,152.2899932861328,6135600
20240410,151.52999877929688,151.82000732421875,149.75999450683594,150.1999969482422,6809500
20240411,150.8000030517578,150.8699951171875,148.38999938964844,148.7899932861328,8374400
20240412,148.05999755859375,149.07000732421875,147.14999389648438,147.52000427246094,7097500
20240415,148.3699951171875,149.49000549316406,147.3699951171875,147.58999633789062,8502300
20240416,145.00999450683594,146.25,143.38999938964844,144.4499969482422,12774900
20240417,145.0,145.41000366210938,143.5399932861328,144.77000427246094,9378100
20240418,144.97999572753906,145.8000030517578,143.1300048828125,145.74000549316406,9887700
20240419,146.14999389648438,148.1300048828125,144.5399932861328,147.91000366210938,9747700
20240422,148.50999450683594,150.27000427246094,147.3000030517578,149.1199951171875,10118700
20240423,149.86000061035156,150.49000549316406,148.1999969482422,149.55999755859375,10110400
20240424,148.13999938964844,148.99000549316406,146.86000061035156,148.52999877929688,9756300
20240425,149.3699951171875,149.5800018310547,146.3300018310547,146.82000732421875,7642700
20240426,146.6999969482422,147.17999267578125,145.9499969482422,146.13999938964844,6183000
20240429,146.13999938964844,147.22000122070312,145.99000549316406,146.82000732421875,6149600
20240430,146.8800048828125,146.8800048828125,144.52999877929688,144.58999633789062,8817700
20240501,148.74000549316406,151.85000610351562,147.6199951171875,151.17999267578125,14470900
20240502,152.0399932861328,152.3300018310547,149.13999938964844,149.9199981689453,8459800
20240503,149.88999938964844,149.88999938964844,147.82000732421875,149.27000427246094,6532700
20240506,149.8699951171875,150.0500030517578,147.91000366210938,148.5800018310547,5042800
20240507,149.3800048828125,149.72999572753906,148.4499969482422,148.72000122070312,7333500
20240508,149.1199951171875,149.72999572753906,148.6999969482422,148.9499969482422,7735100
20240509,148.97999572753906,150.10000610351562,148.88999938964844,149.85000610351562,6546200
20240510,150.0,150.08999633789062,149.19000244140625,149.91000366210938,5710600
20240513,150.0399932861328,152.0,149.7100067138672,151.22000122070312,5628500
20240514,151.85000610351562,152.2100067138672,150.6999969482422,151.3800048828125,8254200
20240515,151.82000732421875,152.9499969482422,151.3000030517578,152.6699981689453,5548000
20240516,153.0,154.3800048828125,152.3300018310547,154.27999877929688,7591000
