Symbol,Date,Open,High,Low,Close,Volume
KO,yyyyMMdd,60.47999954223633,60.709999084472656,60.119998931884766,60.400001525878906,13144700
KO,yyyyMMdd,60.5,60.709999084472656,60.380001068115234,60.540000915527344,13277400
KO,yyyyMMdd,60.790000915527344,61.43000030517578,60.70000076293945,61.029998779296875,12551200
KO,yyyyMMdd,61.13999938964844,61.2599983215332,61.0,61.18000030517578,13683500
KO,yyyyMMdd,61.18000030517578,61.29999923706055,60.630001068115234,60.68000030517578,11668700
KO,yyyyMMdd,60.45000076293945,60.72999954223633,60.11000061035156,60.150001525878906,13017300
KO,yyyyMMdd,60.04999923706055,60.38999938964844,59.779998779296875,59.83000183105469,13672900
KO,yyyyMMdd,60.09000015258789,60.150001525878906,59.16999816894531,59.29999923706055,14320700
KO,yyyyMMdd,59.25,59.68000030517578,58.90999984741211,59.5099983215332,10156200
KO,yyyyMMdd,59.400001525878906,59.470001220703125,59.06999969482422,59.27000045776367,10284500
KO,yyyyMMdd,59.47999954223633,59.7400016784668,59.130001068115234,59.720001220703125,10792100
KO,yyyyMMdd,59.31999969482422,59.38999938964844,58.689998626708984,58.91999816894531,11861900
KO,yyyyMMdd,59.150001525878906,59.369998931884766,58.790000915527344,59.04999923706055,11109000
KO,yyyyMMdd,58.95000076293945,59.0099983215332,58.130001068115234,58.279998779296875,12246700
KO,yyyyMMdd,58.61000061035156,58.810001373291016,58.040000915527344,58.13999938964844,12425000
KO,yyyyMMdd,58.25,58.380001068115234,57.93000030517578,58.060001373291016,11236800
KO,yyyyMMdd,58.279998779296875,58.560001373291016,58.099998474121094,58.5099983215332,13805100
KO,yyyyMMdd,58.619998931884766,58.97999954223633,58.540000915527344,58.90999984741211,11125900
KO,yyyyMMdd,59.099998474121094,60.36000061035156,59.0,60.16999816894531,21206200
KO,yyyyMMdd,60.13999938964844,60.630001068115234,59.720001220703125,60.54999923706055,15624500
KO,yyyyMMdd,60.529998779296875,60.68000030517578,60.130001068115234,60.63999938964844,13689100
KO,yyyyMMdd,60.31999969482422,61.650001525878906,59.84000015258789,61.54999923706055,19548300
KO,yyyyMMdd,61.869998931884766,62.59000015258789,61.369998931884766,61.7400016784668,19048500
KO,yyyyMMdd,61.54999923706055,61.93000030517578,61.349998474121094,61.7400016784668,10994300
KO,yyyyMMdd,61.91999816894531,62.04999923706055,61.529998779296875,62.040000915527344,13409300
KO,yyyyMMdd,62.13999938964844,62.83000183105469,61.470001220703125,61.77000045776367,19349200
KO,yyyyMMdd,61.79999923706055,62.56999969482422,61.209999084472656,61.93000030517578,16729800
KO,yyyyMMdd,62.18000030517578,62.400001525878906,61.720001220703125,61.9900016784668,10991300
KO,yyyyMMdd,61.9900016784668,62.33000183105469,61.63999938964844,62.16999816894531,11628700
KO,yyyyMMdd,62.29999923706055,62.380001068115234,61.900001525878906,62.349998474121094,9310700
KO,yyyyMMdd,62.7599983215332,62.81999969482422,62.25,62.619998931884766,9807000
KO,yyyyMMdd,62.849998474121094,62.970001220703125,62.47999954223633,62.849998474121094,10484400
KO,yyyyMMdd,62.810001373291016,63.150001525878906,62.75,62.880001068115234,9113700
KO,yyyyMMdd,62.91999816894531,63.36000061035156,62.790000915527344,63.2599983215332,8371700
KO,yyyyMMdd,63.2400016784668,63.619998931884766,63.18000030517578,63.58000183105469,10137600
KO,yyyyMMdd,63.58000183105469,63.7599983215332,62.79999923706055,63.099998474121094,10852200
KO,yyyyMMdd,63.060001373291016,63.38999938964844,63.0,63.130001068115234,9838900
KO,yyyyMMdd,63.2400016784668,63.72999954223633,63.06999969482422,63.31999969482422,10228000
KO,yyyyMMdd,63.34000015258789,63.369998931884766,62.939998626708984,63.029998779296875,11539000
KO,yyyyMMdd,62.93000030517578,63.0099983215332,62.459999084472656,62.56999969482422,11000900
KO,yyyyMMdd,62.81999969482422,62.97999954223633,62.439998626708984,62.90999984741211,9796200
KO,yyyyMMdd,62.709999084472656,63.02000045776367,62.65999984741211,63.0,7419400
KO,yyyyMMdd,62.4900016784668,62.880001068115234,62.04999923706055,62.09000015258789,9834300
KO,yyyyMMdd,62.220001220703125,62.41999816894531,61.970001220703125,62.0,8200700
KO,yyyyMMdd,61.790000915527344,62.130001068115234,61.400001525878906,61.81999969482422,12347000
KO,yyyyMMdd,61.470001220703125,61.880001068115234,61.06999969482422,61.70000076293945,11861800
KO,yyyyMMdd,61.849998474121094,62.08000183105469,61.599998474121094,61.970001220703125,9436800
KO,yyyyMMdd,61.9900016784668,63.029998779296875,61.689998626708984,62.93000030517578,19816600
KO,yyyyMMdd,62.709999084472656,63.09000015258789,62.45000076293945,62.93000030517578,9369000
KO,yyyyMMdd,63.20000076293945,63.970001220703125,62.939998626708984,63.939998626708984,11895600
KO,yyyyMMdd,63.9900016784668,64.06999969482422,63.349998474121094,63.91999816894531,9632500
KO,yyyyMMdd,63.91999816894531,64.36000061035156,63.84000015258789,64.1500015258789,8658500
KO,yyyyMMdd,64.08999633789062,64.22000122070312,63.810001373291016,63.90999984741211,9523100
KO,yyyyMMdd,63.939998626708984,63.9900016784668,63.369998931884766,63.59000015258789,15687100
KO,yyyyMMdd,63.59000015258789,63.650001525878906,63.06999969482422,63.54999923706055,8396000
KO,yyyyMMdd,63.689998626708984,63.689998626708984,62.689998626708984,62.880001068115234,9569600
KO,yyyyMMdd,62.86000061035156,63.040000915527344,62.45000076293945,62.9900016784668,9668900
KO,yyyyMMdd,62.380001068115234,62.689998626708984,62.09000015258789,62.54999923706055,8179200
