Symbol,Date,Open,High,Low,Close,Volume
SIRI,yyyyMMdd,38.79999923706055,39.5,38.5,38.900001525878906,918550
SIRI,yyyyMMdd,38.900001525878906,39.29999923706055,38.599998474121094,38.599998474121094,1473700
SIRI,yyyyMMdd,38.79999923706055,39.20000076293945,38.70000076293945,39.0,1670700
SIRI,yyyyMMdd,39.20000076293945,39.5,38.599998474121094,38.79999923706055,1199140
SIRI,yyyyMMdd,39.20000076293945,39.900001525878906,38.099998474121094,38.29999923706055,1325950
SIRI,yyyyMMdd,38.79999923706055,38.79999923706055,36.79999923706055,36.900001525878906,1570780
SIRI,yyyyMMdd,36.70000076293945,36.900001525878906,35.5,35.70000076293945,2042370
SIRI,yyyyMMdd,36.20000076293945,36.400001525878906,35.5,35.5,2026860
SIRI,yyyyMMdd,35.5,35.599998474121094,34.79999923706055,34.900001525878906,1410610
SIRI,yyyyMMdd,34.900001525878906,35.29999923706055,33.599998474121094,33.79999923706055,2451680
SIRI,yyyyMMdd,33.79999923706055,35.0,33.29999923706055,34.5,2403920
SIRI,yyyyMMdd,34.20000076293945,34.599998474121094,32.70000076293945,33.400001525878906,2949130
SIRI,yyyyMMdd,33.70000076293945,34.099998474121094,33.20000076293945,33.400001525878906,1552130
SIRI,yyyyMMdd,33.400001525878906,33.400001525878906,32.0,32.099998474121094,2689150
SIRI,yyyyMMdd,32.70000076293945,32.70000076293945,31.5,31.799999237060547,2017340
SIRI,yyyyMMdd,31.799999237060547,31.899999618530273,31.100000381469727,31.5,1366890
SIRI,yyyyMMdd,31.5,31.899999618530273,30.799999237060547,31.0,1426190
SIRI,yyyyMMdd,31.100000381469727,31.200000762939453,30.399999618530273,30.600000381469727,1154970
SIRI,yyyyMMdd,30.600000381469727,31.200000762939453,30.399999618530273,30.899999618530273,1696320
SIRI,yyyyMMdd,31.100000381469727,31.600000381469727,30.799999237060547,31.299999237060547,1533470
SIRI,yyyyMMdd,31.100000381469727,32.099998474121094,31.0,31.600000381469727,1627400
SIRI,yyyyMMdd,31.799999237060547,31.899999618530273,31.299999237060547,31.600000381469727,1784210
SIRI,yyyyMMdd,31.200000762939453,31.399999618530273,29.799999237060547,30.200000762939453,3170230
SIRI,yyyyMMdd,30.0,30.399999618530273,29.700000762939453,30.200000762939453,3122140
SIRI,yyyyMMdd,30.700000762939453,31.899999618530273,30.5,31.700000762939453,2278380
SIRI,yyyyMMdd,31.0,31.5,29.200000762939453,29.399999618530273,4222940
SIRI,yyyyMMdd,29.600000381469727,30.899999618530273,29.299999237060547,30.5,2799490
SIRI,yyyyMMdd,30.799999237060547,31.200000762939453,30.200000762939453,30.5,1366120
SIRI,yyyyMMdd,30.799999237060547,31.399999618530273,30.700000762939453,31.200000762939453,1535550
SIRI,yyyyMMdd,31.5,31.899999618530273,31.200000762939453,31.799999237060547,1182080
SIRI,yyyyMMdd,31.799999237060547,32.099998474121094,31.200000762939453,31.299999237060547,1023840
SIRI,yyyyMMdd,31.200000762939453,31.200000762939453,30.600000381469727,30.799999237060547,870210
SIRI,yyyyMMdd,30.700000762939453,30.799999237060547,30.399999618530273,30.600000381469727,931800
SIRI,yyyyMMdd,31.0,31.100000381469727,30.100000381469727,30.299999237060547,885440
SIRI,yyyyMMdd,30.899999618530273,31.600000381469727,30.600000381469727,31.399999618530273,1665150
SIRI,yyyyMMdd,31.5,32.79999923706055,31.399999618530273,31.700000762939453,2083360
SIRI,yyyyMMdd,31.899999618530273,32.099998474121094,30.299999237060547,30.399999618530273,2355610
SIRI,yyyyMMdd,30.600000381469727,30.700000762939453,30.200000762939453,30.5,1488260
SIRI,yyyyMMdd,30.299999237060547,30.399999618530273,30.0,30.100000381469727,1774460
SIRI,yyyyMMdd,30.100000381469727,30.200000762939453,29.600000381469727,29.899999618530273,1745060
SIRI,yyyyMMdd,29.899999618530273,30.100000381469727,28.899999618530273,28.899999618530273,2420600
SIRI,yyyyMMdd,29.0,29.0,27.899999618530273,28.0,3303470
SIRI,yyyyMMdd,27.899999618530273,28.0,27.200000762939453,27.299999237060547,3379610
SIRI,yyyyMMdd,27.399999618530273,27.600000381469727,27.0,27.5,1984080
SIRI,yyyyMMdd,27.5,27.899999618530273,27.299999237060547,27.600000381469727,1725990
SIRI,yyyyMMdd,27.5,27.600000381469727,27.100000381469727,27.399999618530273,1686650
SIRI,yyyyMMdd,27.399999618530273,27.600000381469727,27.299999237060547,27.399999618530273,1993720
SIRI,yyyyMMdd,27.399999618530273,29.299999237060547,27.200000762939453,28.200000762939453,10109330
SIRI,yyyyMMdd,28.100000381469727,28.399999618530273,27.5,27.700000762939453,1959610
SIRI,yyyyMMdd,27.5,27.5,25.5,25.899999618530273,3578350
SIRI,yyyyMMdd,26.5,26.5,25.5,25.700000762939453,2548300
SIRI,yyyyMMdd,25.600000381469727,26.0,25.5,25.899999618530273,1833120
SIRI,yyyyMMdd,25.600000381469727,26.100000381469727,25.200000762939453,25.600000381469727,2376530
SIRI,yyyyMMdd,25.700000762939453,25.899999618530273,25.200000762939453,25.299999237060547,1942780
SIRI,yyyyMMdd,25.399999618530273,25.799999237060547,25.100000381469727,25.600000381469727,1565080
SIRI,yyyyMMdd,26.0,27.100000381469727,25.899999618530273,26.399999618530273,3995040
SIRI,yyyyMMdd,25.899999618530273,26.0,24.5,25.399999618530273,4828310
SIRI,yyyyMMdd,25.100000381469727,26.299999237060547,24.899999618530273,26.100000381469727,7525470
SIRI,yyyyMMdd,26.299999237060547,26.700000762939453,25.5,26.5,4585440
