Date,Open,High,Low,Close,Volume
yyyyMMdd,483.4700012207031,486.1400146484375,480.6000061035156,481.739990234375,12101400
yyyyMMdd,479.9800109863281,487.2699890136719,479.9200134277344,487.04998779296875,10809600
yyyyMMdd,485.0,491.04998779296875,482.75,484.0199890136719,12715500
yyyyMMdd,488.44000244140625,491.70001220703125,482.6099853515625,490.1300048828125,17732000
yyyyMMdd,492.1099853515625,504.25,491.8500061035156,502.29998779296875,16273600
yyyyMMdd,503.0,504.4200134277344,496.4200134277344,498.19000244140625,12324100
yyyyMMdd,495.0,495.5799865722656,487.8900146484375,490.2200012207031,15325300
yyyyMMdd,497.6300048828125,502.9700012207031,494.2900085449219,496.0899963378906,11757900
yyyyMMdd,503.2799987792969,519.8499755859375,501.3800048828125,512.1900024414062,18586400
yyyyMMdd,514.1900024414062,523.5700073242188,499.3500061035156,505.95001220703125,18575200
yyyyMMdd,497.010009765625,497.32000732421875,476.0,483.5899963378906,20428300
yyyyMMdd,493.260009765625,502.30999755859375,484.7300109863281,499.75,15448200
yyyyMMdd,495.3900146484375,500.9800109863281,491.0299987792969,495.57000732421875,12090700
yyyyMMdd,500.260009765625,501.3500061035156,488.1600036621094,491.8299865722656,12620000
yyyyMMdd,489.010009765625,491.8299865722656,481.29998779296875,484.1000061035156,29141700
yyyyMMdd,491.9100036621094,497.4200134277344,486.80999755859375,496.9800109863281,11755300
yyyyMMdd,488.1700134277344,496.6300048828125,481.2799987792969,496.239990234375,10903100
yyyyMMdd,499.5,508.20001220703125,495.1700134277344,505.5199890136719,11711100
yyyyMMdd,514.7100219726562,515.0399780273438,506.010009765625,507.760009765625,9712500
yyyyMMdd,507.0,509.9700012207031,504.3399963378906,509.5799865722656,8117000
yyyyMMdd,505.7900085449219,507.2200012207031,500.239990234375,503.0199890136719,8380600
yyyyMMdd,505.1300048828125,510.0,495.2099914550781,495.8900146484375,11205400
yyyyMMdd,499.29998779296875,499.8900146484375,488.07000732421875,493.8599853515625,9989700
yyyyMMdd,492.8399963378906,492.8900146484375,485.1499938964844,485.5799865722656,15212800
yyyyMMdd,487.20001220703125,497.42999267578125,481.7799987792969,491.3500061035156,9247000
yyyyMMdd,485.1000061035156,497.5299987792969,484.6499938964844,497.3699951171875,11081000
yyyyMMdd,498.92999267578125,507.239990234375,498.75,506.739990234375,12099200
yyyyMMdd,516.4199829101562,530.0,510.5799865722656,510.9200134277344,26476300
yyyyMMdd,516.8599853515625,530.7000122070312,514.4099731445312,527.3400268554688,19242000
yyyyMMdd,529.280029296875,531.489990234375,518.8900146484375,519.25,13260600
yyyyMMdd,522.22998046875,525.8699951171875,506.739990234375,516.9000244140625,10881400
yyyyMMdd,509.2900085449219,522.5599975585938,505.79998779296875,519.8300170898438,11418500
yyyyMMdd,521.1099853515625,523.8599853515625,517.2899780273438,523.1599731445312,10369500
yyyyMMdd,517.75,520.1900024414062,509.3299865722656,511.8999938964844,11944900
yyyyMMdd,516.719970703125,518.530029296875,497.2799987792969,500.2300109863281,13512900
yyyyMMdd,498.1099853515625,504.7699890136719,497.1099853515625,499.760009765625,9847900
yyyyMMdd,503.1000061035156,503.1600036621094,487.1400146484375,494.1700134277344,12193700
yyyyMMdd,499.82000732421875,512.2100219726562,499.0400085449219,501.79998779296875,14808700
yyyyMMdd,502.79998779296875,502.79998779296875,475.7300109863281,481.07000732421875,25111000
yyyyMMdd,489.7200012207031,492.010009765625,473.3999938964844,481.7300109863281,17271100
yyyyMMdd,491.25,498.760009765625,488.9700012207031,496.1000061035156,15079200
yyyyMMdd,508.05999755859375,510.0,484.5799865722656,493.5,37772700
yyyyMMdd,421.3999938964844,445.7699890136719,414.5,441.3800048828125,82890700
yyyyMMdd,441.4599914550781,446.44000244140625,431.9599914550781,443.2900085449219,32691400
yyyyMMdd,439.55999755859375,439.760009765625,428.55999755859375,432.6199951171875,21502600
yyyyMMdd,431.04998779296875,439.6199951171875,429.7200012207031,430.1700134277344,18429500
yyyyMMdd,428.6000061035156,449.9599914550781,427.1099853515625,439.19000244140625,20344900
yyyyMMdd,438.8399963378906,443.9599914550781,432.2799987792969,441.67999267578125,15221300
yyyyMMdd,445.92999267578125,454.1700134277344,443.8500061035156,451.9599914550781,16489100
yyyyMMdd,455.5799865722656,466.1600036621094,453.3399963378906,465.67999267578125,15094600
yyyyMMdd,466.2900085449219,471.5299987792969,461.30999755859375,468.239990234375,13406800
yyyyMMdd,463.5,475.5799865722656,463.0,472.6000061035156,11683900
yyyyMMdd,470.0,476.0799865722656,467.6300048828125,475.4200134277344,9437700
yyyyMMdd,477.0899963378906,477.5,469.6000061035156,476.20001220703125,10750000
yyyyMMdd,472.75,473.3500061035156,462.8500061035156,468.010009765625,14668800
yyyyMMdd,463.3699951171875,472.5400085449219,460.0799865722656,471.8500061035156,10478600
yyyyMMdd,474.9800109863281,482.5,471.20001220703125,481.5400085449219,13100500
yyyyMMdd,475.0,477.69000244140625,472.75,473.2300109863281,16608200
yyyyMMdd,470.8299865722656,472.79998779296875,468.4200134277344,471.9100036621094,10807300
yyyyMMdd,469.95001220703125,473.20001220703125,467.0400085449219,468.8399963378906,11745100
yyyyMMdd,467.1199951171875,470.70001220703125,462.2699890136719,464.6300048828125,11742200
yyyyMMdd,467.8699951171875,473.7200012207031,465.6499938964844,467.7799987792969,10078600
yyyyMMdd,472.8800048828125,474.3599853515625,461.5400085449219,465.7799987792969,11747900
yyyyMMdd,467.6199951171875,479.8500061035156,466.29998779296875,478.2200012207031,12012300
