Symbol,CompanyName
AAPL,Apple Inc.
MSFT,Microsoft Corporation
AMZN,Amazon.com Inc.
NVDA,NVIDIA Corporation
GOOGL,Alphabet Inc. Class A
META,Meta Platforms Inc.
BRK.B,Berkshire Hathaway Inc. Class B
LLY,Eli Lilly and Company
AVGO,Broadcom Inc.
JPM,JPMorgan Chase & Co.
